name,city,state,address,category
ABOUT FACE JJAEP,EL PASO,TX,4500 LAWRENCE AVE,
ARCANE ELEMENTARY,SIMI VALLEY,CA,1717 ARCANE ST.,
ARCANUM EARLY LEARNING CENTER,ARCANUM,OH,310 N MAIN ST,
ARCH BISHOP MOELLER HIGH SCHOOL,CINCINNATI,OH,9001 MONTGOMERY RD,
ARCHBISHOP ALTER HIGH SCHOOL,KETTERING,OH,940 E DAVID RD,
ABRAHAM JOSHUA HESCHEL SCHOOL,NEW YORK,NY,30 W END AVE,
ARCHBISHOP BERGAN CATHOLIC SCHOOL,FREMONT,NE,545 E 4TH ST,
ABRAHAM KAZEN MIDDLE,SAN ANTONIO,TX,1520 GILLETTE BLVD,
ARCHBISHOP BORDERS SCHOOL,BALTIMORE,MD,3500 FOSTER AVE,
ARCHBISHOP CHAPELLE HIGH SCHOOL,METAIRIE,LA,8800 VETERANS MEMORIAL BLVD,
ARCHBISHOP CURLEY HIGH SCHOOL,BALTIMORE,MD,3701 SINCLAIR LN,
ARCHBISHOP HANNAN HIGH SCHOOL,COVINGTON,LA,71324 HWY 1077,
ARCHBISHOP HOBAN HIGH SCHOOL,AKRON,OH,1 HOLY CROSS BLVD,
ARCHBISHOP LYKE-ST TIMOTHY CAMPUS,GARFIELD HEIGHTS,OH,4351 E 131ST ST,
ARCHBISHOP MCCARTHY HIGH SCHOOL,SOUTHWEST RANCHES,FL,5451 S FLAMINGO RD,
ARCHBISHOP MCNICHOLAS HIGH SCHOOL,CINCINNATI,OH,6536 BEECHMONT AVE,
ARCHBISHOP MITTY HIGH SCHOOL,SAN JOSE,CA,5000 MITTY WAY,
ARCHBISHOP MOLLOY HIGH SCHOOL,BRIARWOOD,NY,8353 MANTON ST,
ARCHBISHOP MURPHY HIGH SCHOOL,EVERETT,WA,12911 39TH AVE SE,
ARCHBISHOP NEALE SCHOOL,LA PLATA,MD,104 PORT TOBACCO RD,
ARCHBISHOP RUMMEL HIGH SCHOOL,METAIRIE,LA,1901 SEVERN AVE,
ARCHBISHOP RYAN ACADEMY FOR THE DEAF,PHILADELPHIA,PA,4251 L ST,
ARCHBISHOP RYAN HIGH SCHOOL,PHILADELPHIA,PA,11201 ACADEMY RD,
ARCHBISHOP SHAW HIGH SCHOOL,MARRERO,LA,1000 BARATARIA BLVD,
ABRAHAM LINCOLN ELEMENTARY,DALY CITY,CA,101 LAKE MERCED BLVD.,
ARCHBISHOP SPALDING HIGH SCHOOL,SEVERN,MD,8080 NEW CT RD,
ARCHBISHOP STEPINAC HIGH SCHOOL,WHITE PLAINS,NY,950 MAMARONECK AVE,
ARCHBISHOP WILLIAMS HIGH SCHOOL,BRAINTREE,MA,80 INDEPENDENCE AVE,
ARCHBISHOP WOOD HIGH SCHOOL,WARMINSTER,PA,655 YORK RD,
ARCHER SCHOOL FOR GIRLS,LOS ANGELES,CA,11725 W SUNSET BLVD,
ARCHES ACADEMY,OREM,UT,280 S 400 E,
ARCHWAY,LEICESTER,MA,77 MULBERRY ST,
ARCHWAYS COMMUNITY DAY,AMERICAN CANYON,CA,300 BENTON WAY,
ARDEN CAHILL ACADEMY,GRETNA,LA,3101 WALL BLVD,
ARDEN CHRISTIAN SCHOOL,ARDEN,NC,2568 HENDERSONVILLE RD,
ARDMORE ADVENTIST ACADEMY,ARDMORE,OK,154 BEAVER ACADEMY RD,
ABRAM FRIEDMAN OCCUPATIONAL,LOS ANGELES,CA,1646 SOUTH OLIVE ST.,
ABRAXAS ACADEMY,MORGANTOWN,PA,1000 ACADEMY DR,
ABRAXAS I ARLENE LISSNER HIGH SCHOOL,MARIENVILLE,PA,165 ABRAXAS RD,
