federal_offense,misdemeanor,total,detained_or_awaiting_trial,felony,snapshot_date,id,source_url,source_url1
0,26,163,137,0,2021-05-01,9003,https://www.tn.gov/content/dam/tn/correction/documents/JailApril2021.pdf,https://www.tn.gov/correction/statistics-and-information/jail-summary-reports.html
0,13,101,79,9,2021-05-01,9004,https://www.tn.gov/content/dam/tn/correction/documents/JailApril2021.pdf,https://www.tn.gov/correction/statistics-and-information/jail-summary-reports.html
0,36,113,74,3,2021-05-01,9005,https://www.tn.gov/content/dam/tn/correction/documents/JailApril2021.pdf,https://www.tn.gov/correction/statistics-and-information/jail-summary-reports.html
0,82,249,143,24,2021-05-01,9006,https://www.tn.gov/content/dam/tn/correction/documents/JailApril2021.pdf,https://www.tn.gov/correction/statistics-and-information/jail-summary-reports.html
0,53,240,172,15,2021-05-01,9001,https://www.tn.gov/content/dam/tn/correction/documents/JailApril2021.pdf,https://www.tn.gov/correction/statistics-and-information/jail-summary-reports.html
0,13,82,69,0,2021-05-01,9002,https://www.tn.gov/content/dam/tn/correction/documents/JailApril2021.pdf,https://www.tn.gov/correction/statistics-and-information/jail-summary-reports.html
0,0,64,62,2,2021-05-01,9007,https://www.tn.gov/content/dam/tn/correction/documents/JailApril2021.pdf,https://www.tn.gov/correction/statistics-and-information/jail-summary-reports.html
3,35,237,186,13,2021-05-01,9008,https://www.tn.gov/content/dam/tn/correction/documents/JailApril2021.pdf,https://www.tn.gov/correction/statistics-and-information/jail-summary-reports.html
0,7,25,3,15,2021-05-01,9048,https://www.tn.gov/content/dam/tn/correction/documents/JailApril2021.pdf,https://www.tn.gov/correction/statistics-and-information/jail-summary-reports.html
58,9,121,53,1,2021-05-01,9011,https://www.tn.gov/content/dam/tn/correction/documents/JailApril2021.pdf,https://www.tn.gov/correction/statistics-and-information/jail-summary-reports.html
1,19,129,105,4,2021-05-01,9012,https://www.tn.gov/content/dam/tn/correction/documents/JailApril2021.pdf,https://www.tn.gov/correction/statistics-and-information/jail-summary-reports.html
0,4,54,47,3,2021-05-01,9013,https://www.tn.gov/content/dam/tn/correction/documents/JailApril2021.pdf,https://www.tn.gov/correction/statistics-and-information/jail-summary-reports.html
0,8,142,132,2,2021-05-01,9015,https://www.tn.gov/content/dam/tn/correction/documents/JailApril2021.pdf,https://www.tn.gov/correction/statistics-and-information/jail-summary-reports.html
0,47,263,190,26,2021-05-01,9016,https://www.tn.gov/content/dam/tn/correction/documents/JailApril2021.pdf,https://www.tn.gov/correction/statistics-and-information/jail-summary-reports.html
0,37,201,160,4,2021-05-01,9017,https://www.tn.gov/content/dam/tn/correction/documents/JailApril2021.pdf,https://www.tn.gov/correction/statistics-and-information/jail-summary-reports.html
3,19,138,85,31,2021-05-01,9018,https://www.tn.gov/content/dam/tn/correction/documents/JailApril2021.pdf,https://www.tn.gov/correction/statistics-and-information/jail-summary-reports.html
0,48,269,208,13,2021-05-01,9019,https://www.tn.gov/content/dam/tn/correction/documents/JailApril2021.pdf,https://www.tn.gov/correction/statistics-and-information/jail-summary-reports.html
0,39,549,490,20,2021-05-01,9020,https://www.tn.gov/content/dam/tn/correction/documents/JailApril2021.pdf,https://www.tn.gov/correction/statistics-and-information/jail-summary-reports.html
0,26,103,0,77,2021-05-01,9021,https://www.tn.gov/content/dam/tn/correction/documents/JailApril2021.pdf,https://www.tn.gov/correction/statistics-and-information/jail-summary-reports.html
