SALAMONIE SCHOOL, WARREN, IN
SCOTT MEMORIAL MIDDLE, WYTHEVILLE, VA
SCOTT MIDDLE SCHOOL, LINCOLN, NE
SCOTT MIDDLE SCHOOL, SCOTT, LA
SCOTT MORGAN JOHNSON MIDDLE, MCKINNEY, TX
SCOTT RIVER COMMUNITY DAY, ETNA, CA
SCOTT SCHOOL, WARWICK, RI
SCOTT VALLEY ADULT, ETNA, CA
SCOTTS BRANCH ELEMENTARY, BALTIMORE, MD
SCOTTS HILL ELEMENTARY, SCOTTS HILL, TN
SCOTTS HILL HIGH SCHOOL, REAGAN, TN
SCOTTS MILLS ELEMENTARY SCHOOL, SCOTTS MILLS, OR
SCOTTS RIDGE ELEMENTARY, APEX, NC
SCOTTSBORO JUNIOR HIGH SCHOOL, SCOTTSBORO, AL
SCPS CONSEQUENCE UNIT, SANFORD, FL
SCPS EARLY LEARNING COALITION, SANFORD, FL
SCRANTON ELEMENTARY, SCRANTON, SC
SCRANTON ELEMENTARY SCHOOL, SCRANTON, AR
SCRANTON MIDDLE SCHOOL, BRIGHTON, MI
SCRANTON SCHOOL, CLEVELAND, OH
SCRANTON SCHOOL FOR DEAF & HARD OF HEARING, SOUTH ABINGTON TOWNSHIP, PA
SCREVEN COUNTY HIGH SCHOOL, SYLVANIA, GA
SCREVEN COUNTY MIDDLE SCHOOL, SYLVANIA, GA
SCRIBES & SCRIBBLERS CHILD DEVELOPMENT CENTER, MIDDLEBURG HEIGHTS, OH
SCRIBNER-SNYDER SECONDARY SCH, SCRIBNER, NE
SCRIPPS MIDDLE SCHOOL, LAKE ORION, MI
SCRIPPS MONTESSORI, SAN DIEGO, CA
SCULLEN MIDDLE SCHOOL, NAPERVILLE, IL
SCUOLA VITA NUOVA CHARTER, KANSAS CITY, MO
SCURLOCK ELEMENTARY, RAEFORD, NC
SCY HIGH (SOUTHERN CALIFORNIA YESHIVA HIGH SCHOOL), SAN DIEGO, CA
SDSBVI ELEMENTARY - 01, ABERDEEN, SD
SE AREA TECHNICAL SKILLS CENTER, WALLA WALLA, WA
SE ISLAND CORRESPONDENCE, THORNE BAY, AK
SEA BREEZE ELEMENTARY SCHOOL, BRADENTON, FL
SEA CASTLE ELEMENTARY SCHOOL, MIRAMAR, FL
SEA CLIFF ELEMENTARY SCHOOL, SEA CLIFF, NY
SEA GATE ELEMENTARY SCHOOL, NAPLES, FL
SEA GIRT ELEMENTARY SCHOOL, SEA GIRT, NJ
SEA ISLE ELEMENTARY, MEMPHIS, TN
SEA PARK ELEMENTARY SCHOOL, SATELLITE BEACH, FL
SEA ROAD SCHOOL, KENNEBUNK, ME
SEABORN ELEMENTARY SCHOOL, MINERAL RIDGE, OH
SEABREEZE HIGH SCHOOL, DAYTONA BEACH, FL
SEABROOK ELEMENTARY SCHOOL, SEABROOK, NH
SEACOAST CAREER SCHOOL-MANCHESTER CAMPUS, MANCHESTER, NH
SEACOAST WALDORF SCHOOL, ELIOT, ME
SEADRIFT SCHOOL, SEADRIFT, TX
SEAFORD CENTRAL ELEMENTARY SCHOOL, SEAFORD, DE
