name,city,state,address,district
COWDEN-HERRICK JR/SR HIGH SCHOOL,COWDEN,IL,,COWDEN-HERRICK CONSOLIDATED UNIT SCHOOL DISTRICT 3A
DEER PARK ELEMENTARY SCHOOL,NEW PORT RICHEY,FL,,PASCO
LASALLE ELEMENTARY SCHOOL,MISHAWAKA,IN,,SCHOOL CITY OF MISHAWAKA
WALTER JOHNSON HIGH,BETHESDA,MD,,MONTGOMERY COUNTY PUBLIC SCHOOLS
NORTHWESTERN HIGH,HYATTSVILLE,MD,,PRINCE GEORGE'S COUNTY PUBLIC SCHOOLS
HALLETT ELEMENTARY,MEDICAL LAKE,WA,,MEDICAL LAKE SCHOOL DISTRICT
MARYSVILLE ELEM,MARYSVILLE,KS,,MARYSVILLE
FRED MOODRY INTERMEDIATE,ANACONDA,MT,,ANACONDA ELEM
MORICHES ELEMENTARY SCHOOL,MORICHES,NY,,WILLIAM FLOYD UNION FREE SCHOOL DISTRICT
GARDNERS ELEMENTARY,ELM CITY,NC,,WILSON COUNTY SCHOOLS
COOK COUNTY SENIOR HIGH,GRAND MARAIS,MN,,COOK COUNTY PUBLIC SCHOOLS
ST. PETER MIDDLE SCHOOL,SAINT PETER,MN,,ST. PETER PUBLIC SCHOOL DISTRICT
NEW HOPE ELEMENTARY SCHOOL,COLUMBUS,MS,,LOWNDES CO SCHOOL DISTRICT
OKLAHOMA SCHOOL FOR THE DEAF,SULPHUR,OK,,OKLAHOMA SCHOOL FOR THE DEAF
PERSHING ELEMENTARY SCHOOL,LINCOLN,NE,,LINCOLN PUBLIC SCHOOLS
MAYO MIDDLE SCHOOL,PARIS,IL,,PARIS-UNION SD 95
GORMAN CROSSING ELEMENTARY,LAUREL,MD,,HOWARD COUNTY PUBLIC SCHOOLS
PS 230 DORIS L COHEN,BROOKLYN,NY,,NEW YORK CITY GEOGRAPHIC DISTRICT #15
PS/IS 113 ANTHONY J PRANZO,GLENDALE,NY,,NEW YORK CITY GEOGRAPHIC DISTRICT #24
LAURA WELCH BUSH EL,HOUSTON,TX,,PASADENA INDEPENDENT SCHOOL DISTRICT
PHILO T. FARNSWORTH SCHOOL,WEST VALLEY CITY,UT,,GRANITE DISTRICT
AUDUBON TRADITIONAL ELEMENTARY,LOUISVILLE,KY,,JEFFERSON COUNTY
SCHOOL 41-KODAK PARK,ROCHESTER,NY,,ROCHESTER CITY SCHOOL DISTRICT
SYOSSET SENIOR HIGH SCHOOL,SYOSSET,NY,,SYOSSET CENTRAL SCHOOL DISTRICT
ROCKY RIVER ELEMENTARY,CONCORD,NC,,CABARRUS COUNTY SCHOOLS
SOUTH GREENVILLE ELEMENTARY,GREENVILLE,NC,,PITT COUNTY SCHOOLS
CENTENNIAL ELEMENTARY SCHOOL,FARGO,ND,,FARGO 1
MOSS POINT ESCATAWPA UPPER ELEM,MOSS POINT,MS,,MOSS POINT SEPARATE SCHOOL DISTRICT
AVALON ELEMENTARY,FORT WASHINGTON,MD,,PRINCE GEORGE'S COUNTY PUBLIC SCHOOLS
NUVIEW ACADEMY ANNEX,PISCATAWAY,NJ,,EDUCATIONAL SERVICES COMMISSION OF NEW JERSEY
BALLARD COUNTY MIDDLE SCHOOL,BARLOW,KY,,BALLARD COUNTY
DELMINA WOODS YOUTH FACILITY,FORSYTH,MO,,DIVISION OF YOUTH SERVICE
CENTRAL VALLEY KINDERGARTEN CENTER,LIBERTY LAKE,WA,,CENTRAL VALLEY SCHOOL DISTRICT
MANHATTAN CHARTER SCHOOL,NEW YORK,NY,,MANHATTAN CHARTER SCHOOL
TALAWANDA MIDDLE SCHOOL,OXFORD,OH,,TALAWANDA CITY
DEL CASTILLO EL,BROWNSVILLE,TX,,BROWNSVILLE INDEPENDENT SCHOOL DISTRICT
COOK SCHOOL,SYRACUSE,UT,,DAVIS DISTRICT
LASALLE INTERMEDIATE ACADEMY,SOUTH BEND,IN,,SOUTH BEND COMMUNITY SCHOOL CORPORATION
SLIGO CREEK ELEMENTARY,SILVER SPRING,MD,,MONTGOMERY COUNTY PUBLIC SCHOOLS
EWING YOUNG ELEMENTARY SCHOOL,NEWBERG,OR,,NEWBERG SD 29J
LEHMAN-JACKSON EL SCH,DALLAS,PA,,LAKE-LEHMAN SD
MADELIA ELEMENTARY,MADELIA,MN,,MADELIA PUBLIC SCHOOL DISTRICT
OLIVER STREET SCHOOL,NEWARK,NJ,,NEWARK PUBLIC SCHOOL DISTRICT
WARWICK HIGH SCHOOL,WARWICK,ND,,WARWICK 29
HIGHLAND SCH,ABINGTON,PA,,ABINGTON SD
VILLAGE EL,GEORGETOWN,TX,,GEORGETOWN INDEPENDENT SCHOOL DISTRICT
WESTLAWN ELEMENTARY,FALLS CHURCH,VA,,FAIRFAX CO PUBLIC SCHOOLS
DIEGO DE TORRES VARGAS,BAYAMON,PR,,PUERTO RICO DEPARTMENT OF EDUCATION
NORTHLAKE MIDDLE SCHOOL,NORTHLAKE,IL,,BERKELEY SD 87
SPALDING PARK ELEMENTARY,SIOUX CITY,IA,,SIOUX CITY COMM SCHOOL DISTRICT
PS 14 FAIRVIEW,CORONA,NY,,NEW YORK CITY GEOGRAPHIC DISTRICT #24
LA PORTE J H,LA PORTE,TX,,LA PORTE INDEPENDENT SCHOOL DISTRICT
WASHINGTONELEMENTARYSCHOOL,HARVEY,IL,,W HARVEY-DIXMOOR PSD 147
MUSKEGON HEIGHTS ACADEMY,MUSKEGON,MI,,MUSKEGON HEIGHTS PUBLIC SCHOOL ACADEMY SYSTEM
KENILWORTH ELEMENTARY,BOWIE,MD,,PRINCE GEORGE'S COUNTY PUBLIC SCHOOLS
THE EXPLORIS SCHOOL,RALEIGH,NC,,THE EXPLORIS SCHOOL
NORTH ADAMS ELEMENTARY SCHOOL,SEAMAN,OH,,ADAMS COUNTY OHIO VALLEY LOCAL
KNOX COUNTY CAREER CENTER,MOUNT VERNON,OH,,KNOX COUNTY JVSD
HILLCREST EL SCH,DREXEL HILL,PA,,UPPER DARBY SD
AUSTIN EL,CONROE,TX,,CONROE INDEPENDENT SCHOOL DISTRICT
MOUNTAIN BAY ELEMENTARY,WESTON,WI,,D C EVEREST AREA SCHOOL DISTRICT
COOL SPRING ELEMENTARY,LEESBURG,VA,,LOUDOUN CO PUBLIC SCHOOLS
LUXEMBURG-CASCO MIDDLE,CASCO,WI,,LUXEMBURG-CASCO SCHOOL DISTRICT
MEDGAR EVERS PRIMARY ACADMC CENTER,FORD HEIGHTS,IL,,FORD HEIGHTS SD 169
GREEN VALLEY ELEMENTARY SCHOOL,PARMA,OH,,PARMA CITY
SIOUX VALLEY MIDDLE SCHOOL - 04,VOLGA,SD,,SIOUX VALLEY SCHOOL DISTRICT 05-5
BEECH BOTTOM PRIMARY,BEECH BOTTOM,WV,,BROOKE COUNTY SCHOOLS
THE CROSSROADS SCHOOL,BALTIMORE,MD,,BALTIMORE CITY PUBLIC SCHOOLS
PS 192 MAGNET SCHOOL FOR MATH AND SCIENCE INQUIRY,BROOKLYN,NY,,NEW YORK CITY GEOGRAPHIC DISTRICT #20
ASHE COUNTY HIGH,WEST JEFFERSON,NC,,ASHE COUNTY SCHOOLS
CARPENTER ELEMENTARY,CARY,NC,,WAKE COUNTY SCHOOLS
HERITAGE ELEMENTARY,WAKE FOREST,NC,,WAKE COUNTY SCHOOLS
CENTRAL ES,COWETA,OK,,COWETA
SOUTH FORK HIGH SCHOOL,STUART,FL,,MARTIN
ROBERT S. PAYNE ELEMENTARY,LYNCHBURG,VA,,LYNCHBURG CITY PUBLIC SCHOOLS
ATHOL ELEMENTARY SCHOOL,ATHOL,ID,,LAKELAND DISTRICT
INDIAN CREEK HIGH SCHOOL,SHABBONA,IL,,INDIAN CREEK CONSOLIDATED UNIT SCHOOL DISTRICT 425
BENTON GRADE SCH K-4,BENTON,IL,,BENTON CCSD 47
BOLDT EL,SAN ANTONIO,TX,,NORTHSIDE INDEPENDENT SCHOOL DISTRICT
W B BIZZELL ACADEMY,NAVASOTA,TX,,NAVASOTA INDEPENDENT SCHOOL DISTRICT
UNIVERSAL ALCORN CS,PHILADELPHIA,PA,,UNIVERSAL ALCORN CS
LANPHIER HIGH SCHOOL,SPRINGFIELD,IL,,SPRINGFIELD SD 186
PROPHETSTOWNELEMENTARYSCHOOL,PROPHETSTOWN,IL,,PROPHETSTOWN-LYNDON-TAMPICO CONSOLIDATED UNIT SCHOOL DISTRICT3
KLONDIKE MIDDLE SCHOOL,WEST LAFAYETTE,IN,,TIPPECANOE SCHOOL CORPORATION
ASPEN CREEK EC CENTER,BROKEN ARROW,OK,,BROKEN ARROW
ASPEN CREEK ES,BROKEN ARROW,OK,,BROKEN ARROW
EAGLE TOWER GROVE SOUTH,ST. LOUIS,MO,,EAGLE COLLEGE PREP ENDEAVOR
LAVERNE ES,LAVERNE,OK,,LAVERNE
CLARK COUNTY AREA TECHNOLOGY CENTER,WINCHESTER,KY,,KENTUCKY TECH SYSTEM
THOMAS ARNOLD EL,SALADO,TX,,SALADO INDEPENDENT SCHOOL DISTRICT
MASON COUNTY AREA TECHNOLOGY CENTER,MAYSVILLE,KY,,KENTUCKY TECH SYSTEM
RENAISSANCE CHARTER SCHOOL AT TRADITION,PORT ST. LUCIE,FL,,ST. LUCIE
LINGANORE HIGH,FREDERICK,MD,,FREDERICK COUNTY PUBLIC SCHOOLS
MCGREGOR SECONDARY,MCGREGOR,MN,,MCGREGOR PUBLIC SCHOOL DISTRICT
BOLD-BIRD ISLAND ELEMENTARY,BIRD ISLAND,MN,,BIRD ISLAND-OLIVIA-LAKE LILLIAN
G.F.W. MIDDLE SCHOOL,FAIRFAX,MN,,G.F.W.
THORNTON EL,ARLINGTON,TX,,ARLINGTON INDEPENDENT SCHOOL DISTRICT
HUGHES MIDDLE,RESTON,VA,,FAIRFAX CO PUBLIC SCHOOLS
WOODCREEK ACHIEVEMENT CENTER,LANSING,MI,,LANSING PUBLIC SCHOOL DISTRICT
LAND O' LAKES HIGH SCHOOL,LAND O LAKES,FL,,PASCO
CONKLINELEMENTARYSCHOOL,ROCKFORD,IL,,ROCKFORD SD 205
BOWMAN CO HIGH SCHOOL,BOWMAN,ND,,BOWMAN CO 1
LONGFELLOW ELEMENTARY SCHOOL,MINOT,ND,,MINOT 1
BUCKSHUTEM ROAD SCHOOL,BRIDGETON,NJ,,BRIDGETON CITY SCHOOL DISTRICT
THOMAS B. CONLEY ELEMENTARY SCHOOL,ASBURY,NJ,,BETHLEHEM TOWNSHIP SCHOOL DISTRICT
MIDDLESEX HIGH SCHOOL,MIDDLESEX,NJ,,MIDDLESEX BOROUGH SCHOOL DISTRICT
LENOIR CITY ELEMENTARY,LENOIR CITY,TN,,LENOIR CITY
WEEDSPORT ELEMENTARY SCHOOL,WEEDSPORT,NY,,WEEDSPORT CENTRAL SCHOOL DISTRICT
KENSINGTON CREATIVE & PERFORMING ARTS HS,PHILADELPHIA,PA,,PHILADELPHIA CITY SD
WHITEHALL YEARLING HIGH SCHOOL,WHITEHALL,OH,,WHITEHALL CITY
WESTWOOD ELEMENTARY SCHOOL,WELLINGTON,OH,,WELLINGTON EXEMPTED VILLAGE
ORRVILLE HIGH SCHOOL,ORRVILLE,OH,,ORRVILLE CITY
JOSE R. AGOSTO,NAGUABO,PR,,PUERTO RICO DEPARTMENT OF EDUCATION
MILLBURY JUNIOR/SENIOR HIGH,MILLBURY,MA,,MILLBURY
SCHOOL #6,CLIFFSIDE PARK,NJ,,CLIFFSIDE PARK SCHOOL DISTRICT
C C HARDY EL,WILLIS,TX,,WILLIS INDEPENDENT SCHOOL DISTRICT
SOUTHWEST ELEMENTARY SCHOOL,OPELOUSAS,LA,,ST. LANDRY PARISH
REG'L SAFE SCHOOL PROGRAM ROE #28,ATKINSON,IL,,BUREAU/HENRY/STARK ROE
ALTERNATIVE LEARNING CTR-EAST,HOUSTON,TX,,CYPRESS-FAIRBANKS INDEPENDENT SCHOOL DISTRICT
WOODLAND HIGH,DORCHESTER,SC,,DORCHESTER 04
LINCOLN STREET ELEMENTARY SCHOOL,HILLSBORO,OR,,HILLSBORO SD 1J
ELMWOODELEMENTARYSCHOOL,ZION,IL,,ZION ESD 6
SKYLINE HIGH SCHOOL,ANN ARBOR,MI,,ANN ARBOR PUBLIC SCHOOLS
PORTAL MIDDLE/HIGH SCHOOL,PORTAL,GA,,BULLOCH COUNTY
GREGORY ELEMENTARY - 02,GREGORY,SD,,GREGORY SCHOOL DISTRICT 26-4
POWELL ELEMENTARY,POWELL,TN,,KNOX COUNTY
NAVIGATOR POINTE ACADEMY,WEST JORDAN,UT,,NAVIGATOR POINTE ACADEMY
DAVID S CROCKETT EARLY CHILDHOOD CENTER,ENNIS,TX,,ENNIS INDEPENDENT SCHOOL DISTRICT
OCEE ELEMENTARY SCHOOL,ALPHARETTA,GA,,FULTON COUNTY
URBAN ACADEMY CHARTER SCHOOL,SAINT PAUL,MN,,URBAN ACADEMY CHARTER SCHOOL
UPHAUS EARLY CHILDHOOD CENTER,AUSTIN,TX,,AUSTIN INDEPENDENT SCHOOL DISTRICT
CLEVELAND ACADEMY FOR SCHOLARSHIP TECHNOLOGY AND LEADERSHIP,CLEVELAND,OH,,CLEVELAND ACADEMY FOR SCHOLARSHIP TECHNOLOGY AND LEADERSHIP
RICHTON SQUARE SCHOOL,RICHTON PARK,IL,,MATTESON ESD 162
KIPPS ELEMENTARY,BLACKSBURG,VA,,MONTGOMERY CO PUBLIC SCHOOLS
GORDON-BARBOUR ELEMENTARY,GORDONSVILLE,VA,,ORANGE CO PUBLIC SCHOOLS
COLUMBIA VIRTUAL ACADEMY - SULTAN,SULTAN,WA,,SULTAN SCHOOL DISTRICT
RAMPELLO K-8 MAGNET SCHOOL,TAMPA,FL,,HILLSBOROUGH
LES BOIS JUNIOR HIGH SCHOOL,BOISE,ID,,BOISE INDEPENDENT DISTRICT
COLUMBUS COLLEGIATE ACADEMY,COLUMBUS,OH,,COLUMBUS COLLEGIATE ACADEMY
CONTRACT - 02,ORTONVILLE,MN,,BIG STONE CITY SCHOOL DISTRICT 25-1
BREWSTER HIGH SCHOOL,BREWSTER,WA,,BREWSTER SCHOOL DISTRICT
NARROWS VIEW INTERMEDIATE,UNIVERSITY PLA,WA,,UNIVERSITY PLACE SCHOOL DISTRICT
GARFIELD ELEMENTARY SCHOOL,EVERETT,WA,,EVERETT SCHOOL DISTRICT
SHADLE PARK HIGH SCHOOL,SPOKANE,WA,,SPOKANE SCHOOL DISTRICT
HARDIN CO ALTER ED,LUMBERTON,TX,,LUMBERTON INDEPENDENT SCHOOL DISTRICT
VIOLA DEWALT H S,LA PORTE,TX,,LA PORTE INDEPENDENT SCHOOL DISTRICT
DOVE SCH OF DISCOVERY ES TULSA,TULSA,OK,,DOVE SCHOOLS OF TULSA
LAKEVIEW ELEMENTARY,WIND LAKE,WI,,MUSKEGO-NORWAY SCHOOL DISTRICT
BROOKLYN INSTITUTE FOR LIBERAL ARTS,BROOKLYN,NY,,NEW YORK CITY GEOGRAPHIC DISTRICT #17
SUSSEX CENTRAL MIDDLE,SUSSEX,VA,,SUSSEX CO PUBLIC SCHOOLS
NOVA CLASSICAL ACADEMY LOWER SCHOOL,SAINT PAUL,MN,,NOVA CLASSICAL ACADEMY
GRANVILLE EARLY COLLEGE HIGH,CREEDMOOR,NC,,GRANVILLE COUNTY SCHOOLS
SPRUCE STREET SCHOOL,NEW YORK,NY,,NEW YORK CITY GEOGRAPHIC DISTRICT # 2
WESTWOOD RURAL ELEMENTARY - 05,BRITTON,SD,,BRITTON-HECLA SCHOOL DISTRICT 45-4
SU SANDALIO MARCANO,CAGUAS,PR,,PUERTO RICO DEPARTMENT OF EDUCATION
EAST WASHINGTON ACADEMY,MUNCIE,IN,,MUNCIE COMMUNITY SCHOOLS
THE ACADEMY AT FOREST VIEW,ARLINGTON HEIGHTS,IL,,TOWNSHIP HSD 214
PUTNAM EL,EL PASO,TX,,EL PASO INDEPENDENT SCHOOL DISTRICT
COMMUNITY SCHOOL OF EXCELLENCE,SAINT PAUL,MN,,COMMUNITY SCHOOL OF EXCELLENCE
FLORIDA YOUTH CHALLENGE ACADEMY,STARKE,FL,,CLAY
HARMONY ELEMENTARY SCHOOL,MONROE,GA,,WALTON COUNTY
SAINT CLAIR CO ROE SAFE SCHOOL,BELLEVILLE,IL,,SAINT CLAIR ROE
LAWRENCE JR HIGH SCHOOL,FAIRFIELD,ME,,RSU 49/MSAD 49
STEVENSVILLE MIDDLE SCHOOL,STEVENSVILLE,MD,,QUEEN ANNE'S COUNTY PUBLIC SCHOOLS
CHARLES MCCANN VOCATIONAL TECHNICAL,NORTH ADAMS,MA,,NORTHERN BERKSHIRE REGIONAL VOCATIONAL TECHNICAL
ARTEMUS WARD,CLEVELAND,OH,,CLEVELAND MUNICIPAL
TURNING POINT ACADEMY,CHARLOTTE,NC,,CHARLOTTE-MECKLENBURG SCHOOLS
HARMONY ELEMENTARY,OVERLAND PARK,KS,,BLUE VALLEY
JHS 144 MICHELANGELO,BRONX,NY,,NEW YORK CITY GEOGRAPHIC DISTRICT #11
SCHOOL 23-FRANCIS PARKER,ROCHESTER,NY,,ROCHESTER CITY SCHOOL DISTRICT
PS 38 ROSEDALE,ROSEDALE,NY,,NEW YORK CITY GEOGRAPHIC DISTRICT #29
LINDSAY ES,LINDSAY,OK,,LINDSAY
EDGEWOOD EL SCH,PITTSBURGH,PA,,WOODLAND HILLS SD
BOUDE STOREY MIDDLE,DALLAS,TX,,DALLAS INDEPENDENT SCHOOL DISTRICT
DOUGLAS EL,TYLER,TX,,TYLER INDEPENDENT SCHOOL DISTRICT
COMANCHE SPRINGS EL,FORT WORTH,TX,,EAGLE MT-SAGINAW INDEPENDENT SCHOOL DISTRICT
PATHWAYS LEARNING CTR,BEAUMONT,TX,,BEAUMONT INDEPENDENT SCHOOL DISTRICT
WHEATLAND HIGH SCHOOL,WHEATLAND,WY,,PLATTE COUNTY SCHOOL DISTRICT #1
BERNARDO HUYKE,BAYAMON,PR,,PUERTO RICO DEPARTMENT OF EDUCATION
TEXAS EMPOWERMENT ACADEMY EL,AUSTIN,TX,,TEXAS EMPOWERMENT ACADEMY
MONMOUTH ACADEMY,MONMOUTH,ME,,RSU 02
WASHINGTONELEMENTARYSCHOOL,PANA,IL,,PANA CONSOLIDATED UNIT SCHOOL DISTRICT 8
CHARLES S ASHLEY,NEW BEDFORD,MA,,NEW BEDFORD
LAKEVIEW ELEMENTARY,ROBBINSDALE,MN,,ROBBINSDALE PUBLIC SCHOOL DISTRICT
ST CLAIRSVILLE HIGH SCHOOL,SAINT CLAIRSVILLE,OH,,ST CLAIRSVILLE-RICHLAND CITY
BALDWIN EL,AUSTIN,TX,,AUSTIN INDEPENDENT SCHOOL DISTRICT
MIDDLEBURY ACADEMY,AKRON,OH,,MIDDLEBURY ACADEMY
MUHLENBERG EL SCH,ALLENTOWN,PA,,ALLENTOWN CITY SD
SPRING-FORD INTRMD SCH 5TH/6TH,ROYERSFORD,PA,,SPRING-FORD AREA SD
HAPPY VALLEY ELEMENTARY,JOHNSON CITY,TN,,CARTER COUNTY
THE ACADEMY AT NOLA DUNN,BURLESON,TX,,BURLESON INDEPENDENT SCHOOL DISTRICT
CLATSKANIE MIDDLE/HIGH SCHOOL,CLATSKANIE,OR,,CLATSKANIE SD 6J
CLATSKANIE ELEMENTARY SCHOOL,CLATSKANIE,OR,,CLATSKANIE SD 6J
GARIBALDI ELEMENTARY SCHOOL,GARIBALDI,OR,,NEAH-KAH-NIE SD 56
FUTURES PROGRAM,MANKATO,MN,,MANKATO PUBLIC SCHOOL DISTRICT
M. L. KING ELEMENTARY,KANSAS CITY,MO,,KANSAS CITY 33
TAPPAHANNOCK ELEMENTARY,TAPPAHANNOCK,VA,,ESSEX CO PUBLIC SCHOOLS
JOHN D. ?BUD? HAWK ELEMENTARY AT JACKSON PARK,BREMERTON,WA,,CENTRAL KITSAP SCHOOL DISTRICT
DIXIE ELEMENTARY SCHOOL,DIXIE,WA,,DIXIE SCHOOL DISTRICT
LEWISBURG MIDDLE,OLIVE BRANCH,MS,,DESOTO CO SCHOOL DISTRICT
ADENA PRE-SCHOOL,FRANKFORT,OH,,ADENA LOCAL
WILLOW SPRINGS SCHOOL,DRAPER,UT,,CANYONS DISTRICT
CITRUS GROVE ELEMENTARY SCHOOL,MIAMI,FL,,MIAMI-DADE
CHATTAHOOCHEE COUNTY HIGH SCHOOL,CUSSETA,GA,,CHATTAHOOCHEE COUNTY
SOUTHERN PLAINS EDUCATION COOP.,FAIRMONT,MN,,SOUTHERN PLAINS EDUCATION COOPERATIVE
MARGARET BUERKLE MIDDLE,ST LOUIS,MO,,MEHLVILLE R-IX
POND GAP ELEMENTARY,KNOXVILLE,TN,,KNOX COUNTY
G O A L S PROGRAM,YOAKUM,TX,,HALLETTSVILLE INDEPENDENT SCHOOL DISTRICT
YOUNG ADULT PROGRAMS,ANN ARBOR,MI,,WASHTENAW INDEPENDENT SCHOOL DISTRICT
ART AND PAT GOFORTH EL,LEAGUE CITY,TX,,CLEAR CREEK INDEPENDENT SCHOOL DISTRICT
SPLENDORA J H,SPLENDORA,TX,,SPLENDORA INDEPENDENT SCHOOL DISTRICT
PARK VIEWELEMENTARYSCHOOL,LOMBARD,IL,,LOMBARD SD 44
SPECIAL MUSIC SCHOOL,NEW YORK,NY,,NEW YORK CITY GEOGRAPHIC DISTRICT # 3
YAKIMA ONLINE,YAKIMA,WA,,YAKIMA SCHOOL DISTRICT
TWIGGS COUNTY HIGH SCHOOL,JEFFERSONVILLE,GA,,TWIGGS COUNTY
ISAAC J. GOURDINE MIDDLE,FORT WASHINGTON,MD,,PRINCE GEORGE'S COUNTY PUBLIC SCHOOLS
FRAZER HIGH SCHOOL,FRAZER,MT,,FRAZER H S
DEWEY-CARTER ELEMENTARY,EFFINGHAM,SC,,FLORENCE 01
SENECA HIGH SCHOOL,SENECA,IL,,SENECA TWP HSD 160
VERIBEST PPCD,PAINT ROCK,TX,,PAINT ROCK INDEPENDENT SCHOOL DISTRICT
NIPPERSINK MIDDLE SCHOOL,RICHMOND,IL,,NIPPERSINK SD 2
MONROE ROAD ELEMENTARY SCHOOL,LAMBERTVILLE,MI,,BEDFORD PUBLIC SCHOOLS
CHESTERFIELD ELEM.,CHESTERFIELD,MO,,ROCKWOOD R-VI
BEXAR COUNTY JUVENILE JUSTICE ACADEMY (BCJJA),SAN ANTONIO,TX,,MEDINA VALLEY INDEPENDENT SCHOOL DISTRICT
NACHES TRAIL ELEMENTARY,TACOMA,WA,,BETHEL SCHOOL DISTRICT
STEVENSON HIGH SCHOOL,STEVENSON,WA,,STEVENSON-CARSON SCHOOL DISTRICT
WASHINGTON MIDDLE SCHOOL,OLYMPIA,WA,,OLYMPIA SCHOOL DISTRICT
BLAINE PRIMARY SCHOOL,BLAINE,WA,,BLAINE SCHOOL DISTRICT
BEACH ELEM,LUMMI ISLAND,WA,,FERNDALE SCHOOL DISTRICT
DE PERE HIGH,DE PERE,WI,,DE PERE SCHOOL DISTRICT
WEST ELEMENTARY SCHOOL,BUTTE,MT,,BUTTE ELEM
CREEKSIDE ELEMENTARY SCHOOL,FRANKLIN,IN,,FRANKLIN COMMUNITY SCHOOL CORPORATION
PEACE AND EDUCATION COALITION HS,CHICAGO,IL,,CITY OF CHICAGO SD 299
OCEAN DUNES HIGH SCHOOL,FLORENCE,OR,,ODE YCEP DISTRICT
ROSEMONT 6TH GRADE,FORT WORTH,TX,,FORT WORTH INDEPENDENT SCHOOL DISTRICT
THUNDER RIDGE SCHOOL,SARATOGA SPRINGS,UT,,ALPINE DISTRICT
EXPLORE EXCEED CHARTER SCHOOL,BROOKLYN,NY,,EXPLORE EXCEED CHARTER SCHOOL
KERSHAWELEMENTARYSCHOOL,CHICAGO,IL,,CITY OF CHICAGO SD 299
OAK GLENELEMENTARYSCHOOL,LANSING,IL,,LANSING SD 158
NORTHVIEW MIDDLE SCHOOL,INDIANAPOLIS,IN,,MSD WASHINGTON TOWNSHIP
RICHARD HENRY LEE ELEMENTARY,GLEN BURNIE,MD,,ANNE ARUNDEL COUNTY PUBLIC SCHOOLS
FOX CHAPEL ELEMENTARY,GERMANTOWN,MD,,MONTGOMERY COUNTY PUBLIC SCHOOLS
COMMONWEALTH COMMUNITY DEVELOPMENT ACADEMY,HAMTRAMCK,MI,,COMMONWEALTH COMMUNITY DEVELOPMENT ACADEMY
HOLT CROSSING INTERMEDIATE SCHOOL,GROVE CITY,OH,,SOUTH-WESTERN CITY
JARMAN ES,TULSA,OK,,UNION
TRICO ELEMENTARY SCHOOL,CAMPBELL HILL,IL,,TRICO CONSOLIDATED UNIT SCHOOL DISTRICT 176
BERRY SHOALS INTERMEDIATE,DUNCAN,SC,,SPARTANBURG 05
JOHN Q ADAMS EL,DALLAS,TX,,DALLAS INDEPENDENT SCHOOL DISTRICT
GREENFIELD ELEMENTARY,NORTH CHESTERFIELD,VA,,CHESTERFIELD CO PUBLIC SCHOOLS
INDIAN TRAIL HIGH SCHOOL AND ACADEMY,KENOSHA,WI,,KENOSHA SCHOOL DISTRICT
PAUL B COOPER ELEM,WICHITA,KS,,DERBY
ELDON UPPER ELEM.,ELDON,MO,,ELDON R-I
MANASQUAN HIGH SCHOOL,MANASQUAN,NJ,,MANASQUAN SCHOOL DISTRICT
FARMINGTON PRESCHOOL,FARMINGTON,NM,,FARMINGTON MUNICIPAL SCHOOLS
GEIST MONTESSORI ACADEMY,MCCORDSVILLE,IN,,GEIST MONTESSORI ACADEMY
PS 213 NEW LOTS,BROOKLYN,NY,,NEW YORK CITY GEOGRAPHIC DISTRICT #19
TRIPOLI MIDDLE/SR HIGH SCHOOL,TRIPOLI,IA,,TRIPOLI COMM SCHOOL DISTRICT
WM DIAMOND MIDDLE,LEXINGTON,MA,,LEXINGTON
WINTER PARK MODEL ELEMENTARY,WILMINGTON,NC,,NEW HANOVER COUNTY SCHOOLS
FOSTER EL,KINGWOOD,TX,,HUMBLE INDEPENDENT SCHOOL DISTRICT
VERIBEST H S,VERIBEST,TX,,VERIBEST INDEPENDENT SCHOOL DISTRICT
BONNEVILLE JR HIGH,SALT LAKE CITY,UT,,GRANITE DISTRICT
ANDRES C. GONZALEZ,BAYAMON,PR,,PUERTO RICO DEPARTMENT OF EDUCATION
MARGARET HARRIS COMPREHENSIVE SCHOOL,ATLANTA,GA,,DEKALB COUNTY
WILLIAM H LINCOLN,BROOKLINE,MA,,BROOKLINE
SOUTH HEIGHTS ELEMENTARY SCHOOL,HENDERSON,KY,,HENDERSON COUNTY
FOREST HILL HIGH ADULT EDUCATION,WEST PALM BEACH,FL,,PALM BEACH
SAWYERELEMENTARYSCHOOL,CHICAGO,IL,,CITY OF CHICAGO SD 299
BLACKSTONE MILLVILLE RHS,BLACKSTONE,MA,,BLACKSTONE-MILLVILLE
NORTHBRIDGE MIDDLE,WHITINSVILLE,MA,,NORTHBRIDGE
DAYTON ELEMENTARY SCHOOL,DAYTON,IN,,TIPPECANOE SCHOOL CORPORATION
BLADENSBURG ELEMENTARY,BLADENSBURG,MD,,PRINCE GEORGE'S COUNTY PUBLIC SCHOOLS
PEEBLES ELEMENTARY SCHOOL,BOURNE,MA,,BOURNE
DANIEL AXFORD ELEMENTARY SCHOOL,OXFORD,MI,,OXFORD COMMUNITY SCHOOLS
HEART BUTTE HIGH SCHOOL,HEART BUTTE,MT,,HEART BUTTE K-12 SCHOOLS
WAVERLY INTERMEDIATE SCHOOL,WAVERLY,NE,,WAVERLY SCHOOL DISTRICT 145
IMAGINE 100 ACADEMY OF EXCELLENCE,NORTH LAS VEGAS,NV,,CLARK COUNTY SCHOOL DISTRICT
WILLMAR SENIOR HIGH,WILLMAR,MN,,WILLMAR PUBLIC SCHOOL DISTRICT
