name,city,state,district
INTERNATIONAL HIGH SCHOOL AT PROSPECT HEIGHTS,BROOKLYN,NY,NEW YORK CITY GEOGRAPHIC DISTRICT #17
ISLIP MIDDLE SCHOOL,ISLIP,NY,ISLIP UNION FREE SCHOOL DISTRICT
CEDAR SPRINGS HIGH SCHOOL,CEDAR SPRINGS,MI,CEDAR SPRINGS PUBLIC SCHOOLS
MARBLE FALLS MIDDLE,MARBLE FALLS,TX,MARBLE FALLS INDEPENDENT SCHOOL DISTRICT
CORYDON ELEMENTARY SCHOOL,CORYDON,IN,SOUTH HARRISON COM SCHOOLS
SHELTER ISLAND SCHOOL,SHELTER ISLAND,NY,SHELTER ISLAND UNION FREE SCHOOL DISTRICT
FALLEN TIMBERS MIDDLE SCHOOL,WHITEHOUSE,OH,ANTHONY WAYNE LOCAL
COUPEVILLE MIDDLE SCHOOL,COUPEVILLE,WA,COUPEVILLE SCHOOL DISTRICT
WESTVIEWELEMENTARYSCHOOL,CHAMPAIGN,IL,CHAMPAIGN CONSOLIDATED UNIT SCHOOL DISTRICT 4
BROADMEADOWELEMENTARYSCHOOL,RANTOUL,IL,RANTOUL CITY SD 137
ST JOHNS HIGH SCHOOL,ST JOHNS,MI,ST. JOHNS PUBLIC SCHOOLS
NIAGARA-WHEATFIELD SENIOR HIGH SCHOOL,SANBORN,NY,NIAGARA-WHEATFIELD CENTRAL SCHOOL DISTRICT
PINE VIEW ELEMENTARY,ROCKWOOD,TN,CUMBERLAND COUNTY
CANIFF LIBERTY ACADEMY,HAMTRAMCK,MI,CANIFF LIBERTY ACADEMY
NEW HAVEN HIGH SCHOOL,NEW HAVEN,IN,EAST ALLEN COUNTY SCHOOLS
DALTON ELEMENTARY SCHOOL,DALTON GARDENS,ID,COEUR D'ALENE DISTRICT
WALKERSVILLE HIGH,WALKERSVILLE,MD,FREDERICK COUNTY PUBLIC SCHOOLS
NASHUA HIGH SCHOOL NORTH,NASHUA,NH,NASHUA SCHOOL DISTRICT
HENRY W. MOORE SCHOOL,CANDIA,NH,CANDIA SCHOOL DISTRICT
SEABROOK ELEMENTARY SCHOOL,SEABROOK,NH,SEABROOK SCHOOL DISTRICT
LINTON-STOCKTON ELEMENTARY,LINTON,IN,LINTON-STOCKTON SCHOOL CORPORATIONORATION
JOHN J YOUNG MIDDLE SCHOOL,MISHAWAKA,IN,SCHOOL CITY OF MISHAWAKA
WINSTON MIDDLE SCHOOL,WINSTON,OR,WINSTON-DILLARD SD 116
FISHER JR/SR HIGH SCHOOL,FISHER,IL,FISHER CONSOLIDATED UNIT SCHOOL DISTRICT 1
PARK SCHOOL,OSSINING,NY,OSSINING UNION FREE SCHOOL DISTRICT
WHITEFORD ELEMENTARY SCHOOL,OTTAWA LAKE,MI,WHITEFORD AGRICULTURAL SCHOOL DISTRICT OF THE COUNTIES OF LE
FRANK G LINDSEY ELEMENTARY SCHOOL,MONTROSE,NY,HENDRICK HUDSON CENTRAL SCHOOL DISTRICT
HILLTOP HIGH SCHOOL,WEST UNITY,OH,MILLCREEK-WEST UNITY LOCAL
MOLALLA HIGH SCHOOL,MOLALLA,OR,MOLALLA RIVER SD 35
WESTERN HIGH SCHOOL,LAS VEGAS,NV,CLARK COUNTY SCHOOL DISTRICT
PALM HARBOR MIDDLE SCHOOL,PALM HARBOR,FL,PINELLAS
LINCOLN SCHOOL,MOUNT VERNON,NY,MOUNT VERNON SCHOOL DISTRICT
BECKER PRIMARY,BECKER,MN,BECKER PUBLIC SCHOOL DISTRICT
NORTH KANSAS CITY HIGH,KANSAS CITY,MO,NORTH KANSAS CITY 74
ROSLYN HIGH SCHOOL,ROSLYN HEIGHTS,NY,ROSLYN UNION FREE SCHOOL DISTRICT
DOROTHY NOLAN ELEMENTARY SCHOOL,SARATOGA SPRINGS,NY,SARATOGA SPRINGS CITY SD
STANLEY HIGH SCHOOL,STANLEY,ND,STANLEY 2
BOSCOBEL JUNIOR HIGH,BOSCOBEL,WI,BOSCOBEL AREA SCHOOL DISTRICT
ALAN B SHEPARDELEMENTARYSCHOOL,BOURBONNAIS,IL,BOURBONNAIS SD 53
ADENA ELEMENTARY SCHOOL,FRANKFORT,OH,ADENA LOCAL
COZAD MIDDLE SCHOOL,COZAD,NE,COZAD COMMUNITY SCHOOLS
UNION VALLEY ELEMENTARY SCHOOL,SICKLERVILLE,NJ,GLOUCESTER TOWNSHIP PUBLIC SCHOOLS
EAST RUTHERFORD HIGH SCHOOL,BOSTIC,NC,RUTHERFORD COUNTY SCHOOLS
THACKERVILLE ES,THACKERVILLE,OK,THACKERVILLE
ACADEMY PARK HS,SHARON HILL,PA,SOUTHEAST DELCO SD
PATTON MIDDLE SCHOOL,MCMINNVILLE,OR,MCMINNVILLE SD 40
MELROSE ELEMENTARY,MELROSE,MN,MELROSE PUBLIC SCHOOL DISTRICT
AYDEN MIDDLE,AYDEN,NC,PITT COUNTY SCHOOLS
PRINCE EDWARD COUNTY VOCATIONAL TECHNICAL,FARNVILLLE,VA,PRINCE EDWARD CO PUBLIC SCHOOLS
EUCLID ELEMENTARY SCHOOL,HASBROUCK HEIGHTS,NJ,HASBROUCK HEIGHTS SCHOOL DISTRICT
MARPLE NEWTOWN SHS,NEWTOWN SQUARE,PA,MARPLE NEWTOWN SD
EDGEWOOD JUNIOR HIGH SCHOOL,ELLETTSVILLE,IN,RICHLAND-BEAN BLOSSOM C S C
SHELTON HIGH SCHOOL,SHELTON,WA,SHELTON SCHOOL DISTRICT
HIGHVIEW SCHOOL,HARTSDALE,NY,GREENBURGH CENTRAL SCHOOL DISTRICT
VERNON HIGH SCHOOL,VERNON,FL,WASHINGTON
MEMORIAL HIGH,EAU CLAIRE,WI,EAU CLAIRE AREA SCHOOL DISTRICT
MILDRED H S,CORSICANA,TX,MILDRED INDEPENDENT SCHOOL DISTRICT
